epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5171,0.71971,3.6472,0.93587,0.00443,0.6912,0.20344,0.14742,0.56975,3.69282,0.81918,0.00019,0.00019,0.00019
2,22.5634,0.7128,2.15803,0.93619,0.90334,0.19842,0.44088,0.33794,0.62274,3.08879,0.82883,0.000386139,0.000386139,0.000386139
3,33.63,0.67493,1.34569,0.91846,0.92647,0.38148,0.83576,0.71699,0.55883,2.30239,0.86926,0.000578318,0.000578318,0.000578318
4,44.7428,0.6374,1.02427,0.93516,0.9485,0.4037,0.86658,0.74595,0.57052,1.90605,0.88298,0.000766537,0.000766537,0.000766537
5,55.7914,0.65385,0.90377,0.92327,0.86304,0.85377,0.8498,0.75112,0.5777,1.25715,0.90867,0.000950796,0.000950796,0.000950796
6,69.2669,0.66827,0.90189,0.95978,0.87382,0.89263,0.87536,0.78223,0.54078,0.94276,0.89411,0.0009505,0.0009505,0.0009505
7,81.8461,0.58848,0.7479,0.92062,0.88606,0.89397,0.87536,0.81244,0.49815,0.87299,0.89303,0.0009406,0.0009406,0.0009406
8,94.9792,0.60606,0.80751,0.92378,0.85574,0.84684,0.87311,0.79897,0.47528,0.87659,0.87826,0.0009307,0.0009307,0.0009307
9,106.484,0.56702,0.68894,0.90126,0.9214,0.8859,0.87532,0.81094,0.48307,0.79459,0.87487,0.0009208,0.0009208,0.0009208
10,119.319,0.57425,0.69437,0.9091,0.92354,0.89956,0.88365,0.80406,0.52704,0.72008,0.8972,0.0009109,0.0009109,0.0009109
11,132.321,0.56934,0.64254,0.91494,0.92531,0.8874,0.90033,0.82017,0.51248,0.73315,0.88794,0.000901,0.000901,0.000901
12,145.162,0.52027,0.6305,0.90164,0.94408,0.87345,0.90037,0.82327,0.47274,0.71739,0.88157,0.0008911,0.0008911,0.0008911
13,160.109,0.52705,0.60873,0.89784,0.95311,0.88426,0.90041,0.84729,0.44351,0.65104,0.86788,0.0008812,0.0008812,0.0008812
14,174.284,0.51353,0.60388,0.88924,0.91413,0.9037,0.90064,0.83013,0.48958,0.6848,0.87813,0.0008713,0.0008713,0.0008713
15,186.058,0.5186,0.58305,0.90327,0.94557,0.9037,0.87605,0.82304,0.44211,0.67295,0.85619,0.0008614,0.0008614,0.0008614
16,198.516,0.51891,0.5927,0.91547,0.94908,0.90205,0.90165,0.84032,0.41356,0.60192,0.85214,0.0008515,0.0008515,0.0008515
17,210.415,0.47876,0.58042,0.89073,0.92611,0.90315,0.87688,0.84202,0.40989,0.61731,0.86024,0.0008416,0.0008416,0.0008416
18,222.577,0.4945,0.56176,0.89297,0.92193,0.9037,0.86778,0.81403,0.42112,0.6666,0.85029,0.0008317,0.0008317,0.0008317
19,234.129,0.49651,0.56703,0.89845,0.94386,0.89045,0.86841,0.81351,0.41797,0.68941,0.84777,0.0008218,0.0008218,0.0008218
20,245.19,0.48313,0.53817,0.89042,0.95196,0.88809,0.86937,0.82665,0.39037,0.6151,0.84441,0.0008119,0.0008119,0.0008119
21,256.242,0.4917,0.55248,0.89718,0.94092,0.90241,0.86991,0.82983,0.3857,0.59513,0.85813,0.000802,0.000802,0.000802
22,267.316,0.47948,0.53897,0.90449,0.90276,0.89829,0.9027,0.8646,0.38611,0.61684,0.85364,0.0007921,0.0007921,0.0007921
23,278.403,0.46896,0.50672,0.88382,0.94622,0.89995,0.87814,0.83112,0.38118,0.58973,0.85056,0.0007822,0.0007822,0.0007822
24,289.522,0.46613,0.50755,0.88428,0.94906,0.89837,0.90444,0.8738,0.35558,0.52453,0.84065,0.0007723,0.0007723,0.0007723
